Event Name	Start Date	End Date	Start Time	End Time	Venue / Location	Cost	Description	URL
NetZero Datacenter summit	14/01/2026	15/01/2026	08:00	18:00			The 3rd Net-Zero Data Centre Summit addresses the growing environmental impact of data centres and explores innovative solutions for sustainability, covering energy consumption, water usage and e-waste.	https://theventguide.com/event/netzero-datacenter-summit/
DATACENTRE.ME January Data Centre End User/ Buyer/ Specifier/ Networking event	27/01/2026	27/01/2026	17:00	21:00	Central London		DCME Face-to-Face End User / Buyer / Specifier Networking Event. The next in the successful DCME series of exclusive networking events held in central London.	https://theventguide.com/event/datacentre-me-january-data-centre-end-user-buyer-specifier-networking-event/
DDCA KickStart Conference	03/02/2026	04/02/2026	08:00	18:00	RAI, Amsterdam		Kickstart Europe returns 3-4 Feb 2026 at the RAI in Amsterdam. Welcome Evening on the 3rd, Conference Day on the 4th. Established as the premier European data center event to commence the year.	https://theventguide.com/event/ddca-kickstart-conference/
Data Centres Expo - London	04/02/2026	05/02/2026	08:00	18:00	London	Free	Part of TechEx. Spotlights the future outlook for the sector amid rising demand for data center space - covers AI-ready infrastructure, scalability and sustainability.	https://theventguide.com/event/data-centres-expo-london/
Data Center Expo	04/02/2026	05/02/2026	08:00	18:00		Free	A key part of TechEx Global, tackling challenges in data centre innovation - AI's impact, energy efficiency, future-proofing, infrastructure & operations, and security & resilience.	https://theventguide.com/event/data-center-expo/
Middle East.	09/02/2026	09/02/2026	08:00	18:00				https://theventguide.com/event/middle-east/
Metro Connect USA	23/02/2026	23/02/2026	08:00	18:00	United States		The largest event for digital infrastructure leaders in the US, with 3,500+ attendees from across the market - from fiber optics to data centers - for partnerships, funding and industry insight.	https://theventguide.com/event/metro-connect-usa/
Data Centre World - London	04/03/2026	05/03/2026	08:00	18:00	London	Free	Billed as the largest data centre event in the world, with a 15-year legacy - conference programme, industry experts, and connections with leaders from the largest data centres.	https://theventguide.com/event/data-centre-world-london/
Capacity LATAM	17/03/2026	18/03/2026	08:00	17:00	Sao Paulo, Brazil		Capacity LATAM 2026 takes place 17-18 March in Sao Paulo, uniting Latin America's connectivity providers with international partners to drive growth and investment across the region.	https://theventguide.com/event/capacity-latam/
Datacloud Energy & ESG Europe	23/03/2026	23/03/2026	08:00	17:00	Brussels		Datacloud Energy Europe returns to Brussels on 25-26 March 2026, bringing together the people driving the future of sustainable digital infrastructure.	https://theventguide.com/event/datacloud-energy-esg-europe-3/
Infrastructure Investor - Global Summit	24/03/2026	27/03/2026	08:00	18:00		Free	The flagship gathering of the Infrastructure Investor Network, the world's largest community of institutional investors and managers in infrastructure.	https://theventguide.com/event/infrastucture-invester-global-summit/
DATACENTRE.ME Spring Data Centre End User/Buyer/Specifier Networking Event	24/03/2026	24/03/2026	17:00	22:00	Central London	Free	DCME Face-to-Face End User / Buyer / Specifier Networking Event. The next in the successful DCME series of exclusive networking events held in central London.	https://theventguide.com/event/datacnetre-me-spring-data-centre-end-user-buyer-specifier-networking-event/
infra ai global summit	30/03/2026	01/04/2026	08:00	18:00	Athens, Greece	Free	InfraAI, hosted in Athens, examines the intersection of AI and infrastructure in the global economy, bringing together stakeholders from finance, investment, digital infrastructure, technology and energy.	https://theventguide.com/event/infra-ai-global-summit/
Data Centre World - Frankfurt	06/05/2026	07/05/2026	08:00	18:00	Frankfurt	Free	Data Centre World Frankfurt - covering efficiency, energy resilience, automation, cooling and compliance for the data centre sector.	https://theventguide.com/event/data-centre-world-frankfurt/
Data Center Expo - North America	18/05/2026	19/05/2026	08:00	18:00		Free	Part of TechEx North America, tackling key challenges in data center innovation - AI's impact, energy efficiency, future-proofing, infrastructure & operations, and security & resilience.	https://theventguide.com/event/data-center-expo-north-america-2/
International Telecoms Week	18/05/2026	21/05/2026	08:00	18:00	Gaylord National Resort & Convention Center, National Harbor, MD, USA	Free	ITW brings together the global connectivity and digital infrastructure industry. ITW 2025 drew over 6,000 attendees and 2,000+ organisations from 120 countries.	https://theventguide.com/event/international-telecoms-week/
ITW USA	19/05/2026	19/05/2026	08:00	17:00			ITW 2026 - convergence of the global connectivity and digital infrastructure ecosystem, with 6,500 senior decision-makers from 120 countries over three days.	https://theventguide.com/event/itw-usa/
DATACENTRE.ME Summer End User / Buyer/ Specifier Networking Event	02/06/2026	02/06/2026	17:00	22:00	London, UK	Free	DCME Face-to-Face End User / Buyer / Specifier Networking Event. The next in the successful DCME series of exclusive networking events held in central London.	https://theventguide.com/event/datacentre-me-summer-end-user-buyer-specifier-networking-event/
Pink Elephant Data Centre Regatta	18/06/2026	18/06/2026	08:00	18:00		Free		https://theventguide.com/event/pink-elephant-data-centre-regatta/
ITW Africa	08/09/2026	08/09/2026	08:00	17:00	Radisson Blu, Nairobi Upper Hill, Elgon Rd, Nairobi, Kenya		ITW Africa 2026 - a gathering of industry trailblazers shaping the future of Africa's digital revolution. Co-located with Datacloud Africa. Category: Middle East and Africa.	https://theventguide.com/event/itw-africa/
datacenter forum - copenhagen 2026	24/09/2026	24/09/2026	08:00	18:00	Radisson Blu Scandinavia Hotel, Amager Boul. 70, 2300 Kobenhavn, Denmark	Free	The 11th annual edition of Datacenter Forum Copenhagen - over 300 leaders, decision makers and professionals from the Danish data center sector.	https://theventguide.com/event/datacenter-forum-copenhagen-2026/
DATACENTRE.ME Autumn Data Centre End User/ Buyer/ Specifier Networking event 2026	06/10/2026	06/10/2026	08:00	18:00	London, UK	Free	DCME Face-to-Face End User / Buyer / Specifier Networking Event. The next in the successful DCME series of exclusive networking events held in central London.	https://theventguide.com/event/datacentre-me-autumn-data-centre-end-user-buyer-specifier-networking-event-2026/
